time,price
2022-01-01,2250.18
2022-01-02,2246.36
2022-01-03,2216.64
2022-01-04,2200.36
2022-01-05,2072.11
2022-01-06,2056.25
2022-01-07,1958.54
2022-01-08,1941.05
2022-01-09,1964.26
2022-01-10,1935.42
2022-01-11,2003.46
2022-01-12,2080.61
2022-01-13,2019.07
2022-01-14,2056.98
2022-01-15,2065.98
2022-01-16,2073.61
2022-01-17,2005.04
2022-01-18,1994.88
2022-01-19,1954.29
2022-01-20,1901.17
2022-01-21,1684.62
2022-01-22,1599.96
2022-01-23,1673.94
2022-01-24,1648.75
2022-01-25,1664.03
2022-01-26,1654.05
2022-01-27,1651.14
2022-01-28,1683.52
2022-01-29,1709.04
2022-01-30,1695.09
2022-01-31,1728.62
2022-02-01,1738.38
2022-02-02,1685.34
2022-02-03,1703.51
2022-02-04,1862.78
2022-02-05,1875.13
2022-02-06,1914.32
2022-02-07,1985.10
2022-02-08,1979.19
2022-02-09,2010.58
2022-02-10,1946.94
2022-02-11,1877.67
2022-02-12,1876.75
2022-02-13,1854.28
2022-02-14,1876.74
2022-02-15,1984.72
2022-02-16,1958.47
2022-02-17,1824.65
2022-02-18,1788.87
2022-02-19,1792.83
2022-02-20,1713.53
2022-02-21,1650.17
2022-02-22,1699.19
2022-02-23,1664.89
2022-02-24,1683.93
2022-02-25,1751.37
2022-02-26,1754.50
2022-02-27,1680.27
2022-02-28,1878.30
2022-03-01,1914.21
2022-03-02,1894.96
2022-03-03,1841.13
2022-03-04,1718.52
2022-03-05,1738.99
2022-03-06,1684.65
2022-03-07,1662.60
2022-03-08,1695.39
2022-03-09,1809.30
2022-03-10,1727.24
2022-03-11,1696.58
2022-03-12,1700.34
2022-03-13,1660.91
2022-03-14,1719.57
2022-03-15,1714.09
2022-03-16,1792.51
2022-03-17,1795.63
2022-03-18,1837.83
2022-03-19,1863.04
2022-03-20,1820.40
2022-03-21,1829.61
2022-03-22,1877.51
2022-03-23,1912.67
2022-03-24,1958.54
2022-03-25,1957.12
2022-03-26,1981.27
2022-03-27,2070.70
2022-03-28,2077.44
2022-03-29,2106.93
2022-03-30,2108.23
2022-03-31,2047.84
2022-04-01,2102.68
2022-04-02,2092.08
2022-04-03,2127.34
2022-04-04,2120.52
2022-04-05,2077.29
2022-04-06,1949.63
2022-04-07,1980.93
2022-04-08,1925.79
2022-04-09,1954.75
2022-04-10,1921.61
2022-04-11,1798.55
2022-04-12,1832.92
2022-04-13,1877.47
2022-04-14,1828.77
2022-04-15,1853.99
2022-04-16,1854.12
2022-04-17,1814.08
2022-04-18,1858.72
2022-04-19,1891.15
2022-04-20,1880.46
2022-04-21,1835.20
2022-04-22,1816.70
2022-04-23,1801.43
2022-04-24,1795.97
2022-04-25,1833.59
2022-04-26,1729.70
2022-04-27,1773.35
2022-04-28,1790.69
2022-04-29,1734.43
2022-04-30,1672.89
2022-05-01,1717.29
2022-05-02,1719.31
2022-05-03,1691.04
2022-05-04,1788.13
2022-05-05,1660.64
2022-05-06,1641.16
2022-05-07,1607.68
2022-05-08,1554.03
2022-05-09,1361.42
2022-05-10,1408.38
2022-05-11,1264.28
2022-05-12,1236.81
2022-05-13,1251.85
2022-05-14,1281.94
2022-05-15,1334.86
2022-05-16,1266.36
2022-05-17,1299.74
2022-05-18,1215.22
2022-05-19,1271.92
2022-05-20,1234.85
2022-05-21,1248.01
2022-05-22,1279.06
2022-05-23,1235.95
2022-05-24,1252.88
2022-05-25,1242.14
2022-05-26,1195.92
2022-05-27,1169.34
2022-05-28,1195.58
2022-05-29,1208.98
2022-05-30,1299.69
2022-05-31,1293.30
2022-06-01,1217.03
2022-06-02,1239.27
2022-06-03,1205.11
2022-06-04,1214.63
2022-06-05,1213.80
2022-06-06,1256.42
2022-06-07,1240.88
2022-06-08,1217.46
2022-06-09,1216.02
2022-06-10,1165.34
2022-06-11,1118.75
