time,body
2022-01-04,"The Ethereum Name Service (ENS), a protocol that sells nonfungible tokens (NFTs) of domains representing wallet addresses, generated buzz within the crypto community in November after it airdropped tokens to its users. Those who claimed the tokens earned governance rights over the ENS and can vote on future decisions regarding the protocol.It was so well received that it prompted other Ethereum projects to airdrop tokens too. Though airdrops aren't new, they've recently become increasingly common.In an airdrop, projects distribute tokens to specific investors' wallets. In some situations, like with the ENS, projects airdrop tokens to those who have used their product. Other times, projects airdrop tokens to potential investors in hopes of marketing their product.The process of receiving the airdropped tokens can differ too. Sometimes, investors must choose to accept the tokens by claiming them, while other times, investors cannot reject the airdrop and tokens are automatically dropped in their wallets.The ENS airdrop seems legitimate, as the ENS has existed for years and it required investors to vote on a ""foundational ENS governance constitution"" that detailed the authority of holders before claiming their tokens. But airdrops are often used by crypto scammers. In some cases, they may try to airdrop fictitious tokens to an investor's wallet to prompt them to visit a phishing website.It can be difficult to tell whether an airdrop is safe or not, and investors should be cautious. Before claiming airdropped tokens or interacting with any that may have landed in your wallet, there are a few things to do first. If you have the option to claim airdropped tokens, you should first look into the project distributing and see whether it has a viable product.Even if the airdropped token is safe to claim, its project may be designed to benefit a select few founders or core contributors. Details about a drop and its project can be found in its code, on its website or via its social media. Look into a project's fundamentals and what it proposes before connecting your wallet to its website.Both the OpenDAO and Gas DAO, two Ethereum-based projects, recently airdropped tokens, which quickly surged in value before declining. While the airdrops garnered excitement from some, others expressed concern, saying the projects behind the tokens lacked product development, utility and had security risks. This isn't uncommon.If tokens land in your wallet through an airdrop you didn't initiate, it's best to wait before engaging. Some airdrops may prompt you to visit a website to sell or swap the tokens, but there's a possibility it's a phishing attempt to access your wallet and funds. When researching, there are a few common red flags to be aware of, many of which can be seen when analyzing a project's smart contract, which are collections of code that carry out a set of instructions on the blockchain.For one, if a project lacks on-chain security to protect funds, its founders or developers might be able to control the movement of funds. This commonly happens in ""pump and dump"" or ""rug pull"" schemes, where developers abandon a project and leave with investors' funds.In addition, it might be a bad sign if a project airdropping tokens doesn't have a product, plan, governance outline or other things of that nature. Claiming tokens now with the promise of being told details later can be dangerous. While this can sometimes also be the case for early crypto projects, where there isn't any malice, it's worth keeping in mind.Project founders should be somewhat receptive to answering questions on Discord or Twitter, especially if people are calling out potential issues or concerns. If they aren't, that can be a red flag as well.Another is if a project charges a fee when you try to swap or sell the tokens, or simply doesn't allow you to swap or sell at all. Smart contracts are essential for most crypto-based projects to run. Although they can be quite technical, it's worth checking out the smart contract behind a project, or asking someone knowledgeable about the space to do so. If there is an issue with a developer's code, intentionally or not, then there could potentially be weaknesses within the project.Sign up now: Get smarter about your money and career with our weekly newsletterDon't miss:You could be leaving your crypto wallet open to hackers—here's how to protect it'People have been participating without understanding the risks': Here's what to know about cryptocurrency-based DeFiElon Musk continues to tweet about altcoins like baby dogecoin—but investors should tread very carefully"
2022-01-04,"China's central bank has launched a pilot version of a wallet app for the digital yuan in a push to expand its usage to more people.So far, China has done a number of trials around the country in the form of lotteries where users in certain cities have been given a small amount of the digital currency to spend.But now more people in certain cities can download the app, highlighting how China is trying to get more people to use the digital currency. China's central bank has launched a pilot version of a wallet app for the digital yuan in a push to expand its usage to more people.The app is available on China's Android app stores and Apple's app store. It allows users to open a digital yuan wallet and spend the currency.The digital yuan or e-CNY is a digital version of China's sovereign currency and has been in the works since 2014. It is not a cryptocurrency like bitcoin but is instead issued and controlled by the People's Bank of China.So far, China has done a number of trials around the country in the form of lotteries where users in certain cities have been given a small amount of digital currency to spend. Some retailers, such as e-commerce company JD.com, have accepted it as payment in the past year.But the digital yuan has not yet officially been rolled out nationally and there is no timeline for this.The new app allows users in 10 areas including major cities Shanghai and Beijing to use it. Previously, only select users could use the app on an invitation basis. But now everyone can download the app, highlighting how China is trying to get more people to use the digital currency. The ""Beijing Winter Olympics areas"" is one of the places that the digital yuan can be used, according to a notice on the app. The Winter Olympics, which takes place this year in the Chinese capital, has been one of the events that the People's Bank of China has been targeting bringing the digital yuan to.Still, the e-CNY app will face stiff competition from China's two dominant digital payment apps — Ant Group's Alipay and Tencent's WeChat."
2022-01-04,"Bitcoin could see further upside and reach $100,000 by the middle of this year, claims Antoni Trenchev of crypto lender Nexo.Bitcoin has been a winner in the pandemic era, rising more than 80% in 2021 despite being far off record highs hit earlier that year.However, some experts have warned that bitcoin may be poised for a steep drop in the coming months. Bitcoin could see further upside and surge as high as $100,000 by the middle of 2022, according to Antoni Trenchev of cryptocurrency lender Nexo.The world's largest cryptocurrency by market cap was trading at $46,170.43 as of 8:42 p.m. ET Monday, according to data from Coin Metrics.""I think [bitcoin's] going to reach $100,000 this year, probably by … the middle of it,"" Trenchev, co-founder and managing partner at Nexo, told CNBC's ""Street Signs Asia"" on Monday. The firm claims to be the world's largest lending institution in the digital finance industry, according to its website. The company has issued more than $6 billion in credit and manages assets for more than 2.5 million users globally, it said.Bitcoin has largely been a winner in the pandemic era, rising more than 60% in 2021 despite being far off its record high of around $69,000 earlier that year. In comparison, the S&P 500 rose nearly 27% during the same period, while the Dow and Nasdaq gained 18.73% and 21.39% for the year, respectively.But not everyone is as bullish as Trenchev.Some experts have warned that bitcoin may be poised for a steep drop in the coming months. Carol Alexander, professor of finance at Sussex University, said she sees bitcoin tanking as low as $10,000 in 2022, virtually wiping out all of its gains in the past year and a half. Lingering regulatory scrutiny on the sector and wild price swings could also weigh on the outlook for bitcoin.On his part, Trenchev said there were ""two simple reasons"" why he sees big gains ahead for bitcoin.One is that institutions are ""building out their treasuries"" and filling it with the cryptocurrency, he said, without providing any examples. Firms such as MicroStrategy and Square are among known examples of companies that have bought massive amounts of bitcoin.Another reason is his prediction that ""cheap money"" is here to stay — which will be a boon for cryptocurrencies. Read more about tech and crypto from CNBC ProGoldman Sachs loves Uber, Meta and Amazon — and ranks them in order of preferenceBroadcom bolsters stock with new Apple deal. Here's why the experts like itHere are Cowen's top chip picks for an EV and autonomous-auto future Goldman Sachs loves Uber, Meta and Amazon — and ranks them in order of preferenceBroadcom bolsters stock with new Apple deal. Here's why the experts like itHere are Cowen's top chip picks for an EV and autonomous-auto future His comments come despite expectations the Federal Reserve could raise interest rates several times this year for the first time in the pandemic era as the U.S. central bank seeks to combat inflation. The Fed was among major central banks that took unprecedented monetary easing steps in 2020 to keep financial markets afloat during the early days of the pandemic.Admitting his ""contrarian"" view of lasting easy monetary policy, Trenchev said most people likely ""got it wrong"" in their Fed rate hike expectations.""I quite frankly think that as soon as we see a rate hike, it's going to be a dip into equities and the bond market — and quite frankly, the last few years, we haven't seen much political will to … power through any sort of correction in the traditional financial markets,"" he said.— CNBC's Ryan Browne contributed to this report."
2022-01-05,"After a record-breaking year for cryptocurrency in 2021, many investors may soon face a hefty tax bill for their good fortune.But it can be difficult to calculate digital asset balances without Form 1099-B, summarizing profits and losses.  After a record-breaking year for cryptocurrency in 2021, many investors may soon face a hefty tax bill for their good fortune. The digital asset market value soared past $2 trillion, with bitcoin reaching an all-time high above $69,000 in November and ether surging to nearly $5,000 during the same period.While prices dipped in December, many investors still saw sizable year-over-year growth. More from Smart Tax Planning:Here's a look at more tax-planning news.Here's how to get a faster tax refundWhen to expect key forms for filing your tax returnElectric vehicle tax credits will be harder to get Here's a look at more tax-planning news.Here's how to get a faster tax refundWhen to expect key forms for filing your tax returnElectric vehicle tax credits will be harder to get ""Be prepared to pay some tax,"" said enrolled agent Adam Markowitz, vice president at Howard L Markowitz PA, CPA in Leesburg, Florida.But calculating your balance can be tricky, he said, particularly if it was a year of heavy trading. Loading chart... Since cryptocurrency is considered property, it may be subject to capital gains when exchanged or sold at a profit.    If you exchange digital coins, cash out to U.S. dollars or make a purchase, it may be a taxable event, said Matt Metras, an enrolled agent and cryptocurrency tax specialist at MDM Financial Services in Rochester, New York.The gain or loss is the difference between your purchase price, known as the basis, and value upon sale or exchange, and tax rates depend on how long you have owned the coin.  You may qualify for long-term capital gains rates of 0%, 15% or 20%, depending on taxable income, if you hold the currency for more than one year. However, selling or exchanging assets after less than one year triggers short-term capital gains, with regular income tax rates, up to 37% for top earners.And many crypto investors trade digital coins frequently, according to a CNBC survey, with roughly one-third trading weekly or monthly, and nearly a quarter trading daily.   One of the biggest crypto tax challenges is many investors don't keep records of transactions, and it's difficult for exchanges to track assets moving between wallets and brokers. For example, if you bought bitcoin on Coinbase, transferred it to your wallet and then moved it to Gemini, the second exchange wouldn't know the original purchase price, Metras said.  While the deadline for Form 1099-B, which brokers use to report an investor's profits and losses, is Jan. 31, it's unclear which crypto exchanges, if any, will send these forms for 2021.Despite limited reporting, the IRS still expects you to report crypto transactions, Markowitz said. If exchanges don't provide Form 1099-B, you may be left with each broker's spreadsheet of transactions or other reporting options, which may still be difficult to reconcile.""The best thing to do is try to reverse-engineer it,"" said Metras.You can reconstruct records by importing each exchange's files into crypto tax reporting software. ""It is overwhelming when it's a big mess,"" Metras said. ""But everything adds up eventually.""There are several companies that can provide Form 8949 to summarize crypto activity and file your returns, Markowitz said.However, errors may be possible, and the reporting may not be sufficient for an IRS audit, he added."
2022-01-05,"NFTs could become ""a much bigger, more fluid market"" than bitcoin, ""Shark Tank"" investor Kevin O'Leary predicted.His belief in NFTs stems from the idea that can they prove ownership of real-world items, such as designer watches or flash cars.""We'll see what happens but I'm making that bet and I'm investing on both sides of that equation,"" O'Leary told CNBC. ""Shark Tank"" investor Kevin O'Leary is a big believer in non-fungible tokens — he even thinks they have a shot at becoming bigger than bitcoin.O'Leary, the chairman of O'Shares Investment Advisers, said his belief in NFTs stems from the idea that can they prove ownership of real-world items, such as designer watches or flash cars, digitally rather than with paper records.NFTs are one-of-a-kind crypto tokens that serve to track the provenance and authenticity of rare virtual collectible items such as art and sports memorabilia. There have also been efforts to bring NFTs to physical assets.""You're going to see a lot of movement in terms of doing authentication and insurance policies and real estate transfer taxes all online over the next few years, making NFTs a much bigger, more fluid market potentially than just bitcoin alone,"" O'Leary told CNBC's ""Capital Connection"" Wednesday.""We'll see what happens but I'm making that bet and I'm investing on both sides of that equation.""Barely anyone had heard of NFTs in 2020, but they became a huge phenomenon the following year. More than $20 billion worth of the tokens changed hands throughout 2021, according to some estimates. The trend gained particular public attention after a collage by the digital artist Beeple, whose real name is Mike Winkelmann, was sold for a record $69 million. However, there are concerns about the sustainability of the market. Some have compared it to the initial coin offering frenzy of 2017, which saw several investors get defrauded by betting on start-ups through unregulated token sales. Meanwhile, there have been a number of scams and instances of stolen art, raising red flags for some traders. The millionaire Canadian investor has changed his tune on crypto over the years, having previously called bitcoin ""garbage.""""It is a useless currency,"" O'Leary told CNBC's ""Squawk Box"" in May 2019. ""It's worthless.""More recently, O'Leary has warmed to the space, viewing it as a way of diversifying from other assets such as real estate amid rising inflation. He is particularly bullish on ""decentralized finance,"" a trend that aims to replicate traditional financial products using blockchain.O'Leary recently disclosed that his largest position is in ether, while he also owns some polygon, solana and bitcoin.Around 40% of new checks O'Leary has written in the last six months were for crypto and blockchain-related ventures. O'Leary stressed the importance of ensuring crypto becomes regulated. Regulators in the U.S. and elsewhere are racing to catch up with developments in the market to prevent potential money laundering and protect consumers from financial harm.""Different geographies have different policy regarding crypto,"" O'Leary said. ""You have to go and find jurisdictions that are more progressive."" He cited Canada, his home country, as an example of a jurisdiction that is more progressive than others on the issue of crypto.Canada was the first to approve an exchange-traded fund that gives investors exposure to bitcoin. Though the U.S. Securities and Exchange Commission has since greenlit a bitcoin-linked ETF, the product tracks futures contracts instead of investing in bitcoin directly.O'Leary also cited the United Arab Emirates and Switzerland as other countries that are opening up to crypto.""You have to be optimistic and constructive,"" O'Leary said. ""The floodgate of capital will come in through sovereign and pension plans that doesn't exist yet.""Of particular concern to regulators are stablecoins, digital tokens pegged to the value of sovereign currencies like the dollar. Economists worry notable stablecoins like tether and USD Coin may not have the appropriate reserves available to justify their claims of being backed by dollars.""I think [stablecoins] will also get a chance to shine in the sun as a great way to get yield when you can't get any yield on cash,"" O'Leary said."
2022-01-05,"According to billionaire investor Ray Dalio, it's reasonable for everyday investors to hold a small amount of bitcoin, the largest cryptocurrency by market value.So how much exactly?On a recent episode of the We Study Billionaires podcast, Dalio was asked by co-host William Green whether allocating 1% to 2% of one's portfolio to bitcoin was reasonable.""I think that's right,"" Dalio replied.Dalio owns ""a little bit"" of bitcoin himself, he previously disclosed.Dalio acknowledges that bitcoin has ""pros and cons"": Though it has become prominent, he told Green he has concerns about the government outlawing the cryptocurrency and about its use in ransomware attacks.That's in part why his stance on the cryptocurrency isn't ""black and white,"" Dalio said.Dalio also touched on the fact that bitcoin is seen as a digital gold and hedge against inflation by its supporters. He said it can be compared to gold, because, by design, there is a limited supply of bitcoin.""I think over time, inflation-hedge assets are probably likely to do better,"" Dalio told Green. ""That's why I'm not favorable to cash and those types of things.""Diversification is extremely important, Dalio told Green. But even when it comes to bitcoin, ""one wonders, when does somebody take the money they made in bitcoin and then diversify that? There are other things that are developing, not only other coins, but nonfungible tokens and other things that become popular with that crowd. Does that diversify [bitcoin]?""Nonetheless, as Dalio said in December, bitcoin ""has some merit as a small portion of a portfolio.""Sign up now: Get smarter about your money and career with our weekly newsletterDon't miss: Billionaire Ray Dalio: Bitcoin is like ‘a younger generation’s alternative to gold’ and has ‘merit’"
2022-01-06,"The second-biggest country for bitcoin mining lost its internet access, taking as much as 15% of the network offline.Kazakhstan is home to coal mines that provide a cheap and abundant supply of energy, which is a major incentive to miners who compete in a low-margin industry, where their only variable cost is typically energy.Bitcoin fell below $43,000 for the first time since September in trade on Thursday, falling over 8% at one point. As the Central Asian nation of Kazakhstan plunged into chaos this week, an internet shutdown hit the world's second-biggest bitcoin mining hub, in yet another blow to miners searching for a permanent and stable home.Less than a year ago, China banished all of its cryptocurrency miners, many of whom sought refuge in neighboring Kazakhstan. But months after these crypto migrants set up shop, protests over surging fuel prices have morphed into the worst unrest the country has seen in decades, leaving crypto miners caught in the middle.After sacking his government and requesting the aid of Russian paratroopers to contain the fatal violence, president Kazakh President Kassym-Jomart Tokayev ordered the nation's telecom provider to shutter internet service. That shutdown took an estimated 15% of the world's bitcoin miners offline, according to Kevin Zhang of digital currency company Foundry, which helped bring over $400 million of mining equipment into North America.As Kazakh miner Didar Bekbau put it, ""No internet, so no mining.""Bitcoin dropped below $43,000 for the first time since September in trade on Thursday, falling over 8% at one point. The price move followed the release of hawkish minutes from the Federal Reserve's December meeting. Castle Island Ventures' Nic Carter thinks the supply delta from changing the pace of mining is minimal and that the falling price of bitcoin is more a function of the Fed and ""general risk-off behavior.""Internet service was briefly restored in the country, but data from monitoring group NetBlocks Internet Observatory shows that connectivity levels continue to flatline at just 5% of ordinary levels across the country.""It's now Friday morning in Kazakhstan where internet has been shut down for some 36 hours, placing public safety at risk and leaving friends and family cut off,"" NetBlocks wrote in a tweet.The entire episode lays bare two significant facts about the state of the bitcoin mining industry. For one, the bitcoin network is resilient to the point that it doesn't skip a beat, even when a substantial portion of miners are unexpectedly taken offline. Second, the U.S. may soon see a fresh influx of crypto miners looking to avoid future disruptions. The question now is whether the U.S., which eclipsed China as the planet's largest bitcoin mining hub in 2021, has the room to take in any more miners.""What's concerning is that previous congestion and bottlenecks around hosting capacity (readily available space to plug machines into) will be squeezed that much tighter,"" explained Zhang.""There's a tremendous amount of pressure and demand for hosting capacity,"" he said. When Beijing kicked out all its bitcoin miners in May 2021, Kazakhstan seemed like a logical destination. Beyond the fact that it was right next door, the country is also a major energy producer.Mining is the energy-intensive computing process used to create new coins and maintain a log of all transactions. Kazakhstan is home to coal mines that provide a cheap and abundant supply of energy, which is a major incentive to miners who compete in a low-margin industry where their only variable cost is typically energy.It also helps that the Kazakh government typically has a more lax attitude about building, which is good for for miners who need to construct physical installations in a short period of time.  Bekbau runs Xive, a company that provides hosting services to international miners and sells the specialized equipment needed for mining. In the last several months, he's fielded countless inbounds from Chinese miners looking for a safe place to plug in their gear.Kazakhstan is just behind the U.S. in terms of its share of the global bitcoin mining market, with 18.1% of all crypto mining, according to the Cambridge Centre for Alternative Finance.But the government hasn't exactly been thrilled about its burgeoning crypto mining industry.For months, Kazakh lawmakers have been setting down new rules to discourage mining, including a law that will introduce extra taxes for crypto miners starting in 2022. Experts expect the move will significantly change the incentives for people looking to deploy capital inside Kazakhstan.""The internet outage comes at the heels of efforts to impose a de facto ban on new mining in the country, so miners will have been well aware of the political risk there,"" said Carter.""These bans just underscore why miners are increasingly locating themselves in politically stable jurisdictions,"" continued Carter. Several mining experts also tell CNBC they think that Kazakhstan was always intended to be a temporary stopover on a longer migration west.Alex Brammer of Luxor Mining, a cryptocurrency pool built for advanced miners, said that large miners were going to Kazakhstan in the short-term with older equipment.""But as older-generation machines reach the end of their service lives, those companies will likely deploy new machines into more stable and energy efficient and renewable jurisdictions,"" Brammer said.The U.S. has fast become a mecca for crypto mining, in part because it is home to some of the cheapest sources of energy on the planet, many of which tend to be renewable.If miners do make their way west, it could bode well for the larger debate around bitcoin's carbon footprint.Carter points out that Kazakh energy is carbon-intensive, so just like the Chinese ban, a prolonged outage in the Central Asian country would likely have the net effect of further decarbonizing bitcoin mining.But not all are convinced of an imminent crypto mining exodus from Kazakhstan. Alan Dorjiyev is president of the National Association of Blockchain and Data Centers Industry in Kazakhstan, whose membership is mostly comprised of mining companies. Dorjiyev tells CNBC that after speaking to owners of mining farms across the country, it is his understanding that most data centers are safe, because they are located in regions where there are no protests.Bekbau also remains optimistic, tweeting that he hopes by next week, ""everything will be okay.""Whether miners make the move out of Central Asia or not, industry experts tell CNBC that the biggest takeaway of this entire ordeal is the fact that bitcoin mining has yet again survived another stress test with little drama.""As we saw with China, when a country demonstrates it's unstable for mining bitcoin, miners in that country will move elsewhere,"" said bitcoin mining engineer Brandon Arvanaghi, who now runs Meow, a company that enables corporate treasury participation in crypto markets.""This is how the bitcoin network gets more resilient over time. Miners migrate towards the most favorable jurisdictions, making disruptions less and less frequent."""
2022-01-06,"Bitcoin and other cryptocurrencies fell sharply on Thursday as hawkish minutes from the Federal Reserve's December meeting hit global risk assets.Expectations of less monetary policy support and higher interest rates sent stocks lower on Wednesday. The sell-off filtered through to cryptocurrencies. Bitcoin and other cryptocurrencies fell on Thursday as hawkish minutes from the Federal Reserve's December meeting hit global risk assets.Bitcoin traded at $43,225.10, down about 2% from the 24 hours previous, according to Coin Metrics data as of 4:00 p.m. ET. It at one point sunk to as low as $42,496, reaching the lowest level in more than a month.related investing newsCrypto sees fifth consecutive week of outflows, with negative sentiment focused on bitcoinTanaya Macheel14 hours agoOther cryptocurrencies fell too. Ethereum dropped more than 5% to $3,426.03 while solana lost more than 3% at $151.98.The crypto sell-off comes after stocks fell on Wednesday following the release of minutes from the Fed's December meeting in which the central bank indicated it would dial back its supportive monetary policy, including reducing the amount of bonds it holds.The Fed also indicated that it may have to raise interest rates sooner than expected. Meanwhile, the benchmark 10-year Treasury yield ticked above 1.7% on Wednesday.Growth assets such as technology stocks tend to be hit when rates rise, as future earnings becomes less attractive to investors when yields are higher. That sentiment has filtered through to cryptocurrencies, which are seen as risker assets. ""Overall, I think the global markets have shown weakness in light of the recent Fed moves to raise interest rates. Hence, I do think the drop yesterday is quite correlated. We've seen U.S. markets fall yesterday and as a result, all other risk asset classes fared equally poorly including crypto,"" said Vijay Ayyar, vice president of corporate development and international at cryptocurrency exchange Luno.""Specifically with regard to Bitcoin and crypto, the last 4 weeks have seen some weak price action owing to a lack of interest/demand, holiday season and potentially similar factors.""Shares in Europe and Asia-Pacific also dropped on Thursday.Yuya Hasegawa, crypto market analyst at Japanese bitcoin exchange Bitbank, said bitcoin could tumble further, potentially dropping to $40,000, if upcoming December nonfarm payrolls data shows strong job growth.""The downward pressure on the price is expected to continue until the market fully prices in the tighter-than-expected future monetary policy,"" Hasegawa said in an emailed note Thursday.— CNBC's Ryan Browne, Eustance Huang and Hannah Miao contributed to this report."
2022-01-06,"Scammers around the world took home a record $14 billion in cryptocurrency in 2021, thanks in large part to the rise of DeFi.Losses from crypto-related crime rose 79% from 2020.Cryptocurrency theft increased 516% from 2020, to $3.2 billion worth of cryptocurrency. Of this total, 72% of stolen funds were taken from DeFi protocols. Scammers took home a record $14 billion in cryptocurrency in 2021, thanks in large part to the rise of decentralized finance (DeFi) platforms, according to new data from blockchain analytics firm Chainalysis.Losses from crypto-related crime rose 79% from a year earlier, driven by a spike in theft and scams.Scamming was the greatest form of cryptocurrency-based crime in 2021, followed by theft — most of which occurred through hacking of cryptocurrency businesses. The firm says that DeFi is a big part of the story for both, in yet another warning for those dabbling in this emerging segment of the crypto industry.""DeFi is one of the most exciting areas of the wider cryptocurrency ecosystem, presenting huge opportunities to entrepreneurs and cryptocurrency users alike,"" Chainalysis wrote in its annual Crypto Crime report.""But DeFi is unlikely to realize its full potential if the same decentralization that makes it so dynamic also allows for widespread scamming and theft."" DeFi is a rapidly growing sector of the crypto market that aims to cut out middlemen, such as banks, from traditional financial transactions, like securing a loan.With DeFi, banks and lawyers are replaced by a programmable piece of code called a smart contract. This contract is written on a public blockchain, like ethereum or solana, and it executes when certain conditions are met, negating the need for a central intermediary. ""The financial system is basically sending money around with various terms and conditions attached to it,"" said Joey Krug, chief investment officer at Pantera Capital, a cryptocurrency and blockchain-focused asset manager. DeFi transaction volume grew 912% in 2021, according to Chainalysis stats. Impressive returns on decentralized tokens like shiba inu also spurred a feeding frenzy among DeFi tokens.But there are a lot of red flags when it comes to dealing in this nascent crypto ecosystem.One problem with DeFi, according to Kim Grauer, Chainalysis' head of research, is that many of the new protocols being launched have code vulnerabilities that hackers are able to exploit. Twenty-one percent of all hacks in 2021 took advantage of these code exploits.Grauer tells CNBC that while there are third-party firms that perform code audits and publicly designate which protocols are secure, many users still opt to work with risky platforms that bypass this step if they think they can get a large return.Cryptocurrency theft rose 516% from 2020, to $3.2 billion worth of cryptocurrency. Of this total, 72% of stolen funds were taken from DeFi protocols.Losses from scams climbed 82% to $7.8 billion worth of cryptocurrency.More than $2.8 billion of this total came from a relatively new but very popular type of scheme known as a ""rug pull,"" in which developers build what appear to be legitimate cryptocurrency projects, before ultimately taking investors' money and disappearing.""Given the hype around DeFi, people may have been more OK with using less secure platforms due to a fear of missing out on potential gains,"" explained Grauer. Crypto-related crime may be at an all-time high, but researchers note that the growth of legitimate cryptocurrency usage far outstrips the growth of criminal usage.Transactions involving illicit addresses represented an all-time low of just 0.15% of the $15.8 trillion in total crypto trade volume in 2021.The research firm identifies illicit funds based on their connection to confirmed illicit activity. For example, funds would be considered illicit if they were sent to or from a darknet market, or were known to have been stolen in a hack.""The fact that the increase was just 79% — nearly an order of magnitude lower than overall adoption — might be the biggest surprise of all,"" Chainalysis wrote.""Crime is becoming a smaller and smaller part of the cryptocurrency ecosystem,"" continued the report.Researchers partly credit the curbed growth of crypto-based crime to the evolving toolkit of law enforcement, as well as the inherit transparency of blockchain technologies.Crime is becoming a smaller and smaller part of the cryptocurrency ecosystem.Chainalysis2021 Crypto Crime ReportUnlike cash and other traditional forms of value transfer, every transaction is recorded in a publicly visible ledger, and with the right tools, Grauer says that it is possible to see how much of all cryptocurrency activity is associated with crime.""Authorities have been enormously successful in leveraging the transparency of blockchains to investigate and shut down illicit activity,"" said Grauer.In November, for example, the IRS Criminal Investigation agency said that it had seized more than $3.5 billion worth of cryptocurrency in 2021 — all from nontax investigations — representing 93% of all funds seized by the division during that time period.Other wins for law enforcement in 2021 included the Department of Justice's $56 million seizure in a cryptocurrency scam investigation, $2.3 million seized from the ransomware group behind the Colonial Pipeline attack, as well as an undisclosed amount seized by Israel's National Bureau for Counter Terror Financing in a case related to terrorism financing."
2022-01-07,"A 105,000-square-foot Los Angeles megamansion known as ""The One"" listed Friday for $295 million, making it the most expensive listing in the U.S.It was built by Nile Niami, who promoted it as the ""biggest and most expensive modern home in America,"" with an eventual asking price of $500 million.The megamansion was placed into receivership last year.If it doesn't sell quickly, ""The One"" heads to auction in February as part of a bankruptcy agreement and will be sold to the highest bidder. A 105,000-square-foot megamansion, known as ""The One,"" in the Bel Air section of Los Angeles listed Friday for $295 million, making it the most expensive listing in America.The property, which has been a decade in the making, would be the most expensive home ever sold in the U.S. if it gets its asking price — surpassing hedge-funder Ken Griffin's $238 million purchase of an apartment in Manhattan. If it doesn't sell quickly, ""The One"" heads to auction in February and will be sold to the highest bidder. ""It's a modern masterpiece,"" said Branden Williams, of The Beverly Hills Estates, which is representing the property along with Aaron Kirman of Aaron Kirman Group at Compass. ""It's four acres at the top of a mountain in Bel Air, and it can never be built again.""Along with a record-setting price, ""The One"" also comes with a history of drama, lawsuits and debt. It was built by Nile Niami, a Hollywood-producer-turned-developer, who promoted it as the ""biggest and most expensive modern home in America,"" with an eventual asking price of $500 million. As costs soared, Niami's debt on the house grew to more than $180 million. The megamansion was placed into receivership last year. As part of a bankruptcy agreement struck last month, it was scheduled to be sold at an auction, beginning Feb. 7. People involved in the court process said ""The One"" would have to sell for around $200 million just to pay back the debt, including the auction fees and other costs. If it sells for less, the lenders may have to take a loss, or the property could wind up in further foreclosure litigation. Yet lenders and brokers hope the property is coming to market at an ideal time. Luxury real estate in Los Angeles is breaking records. Sales of properties priced at $10 million or more doubled in 2021 compared with 2019, before the pandemic, with a total of 312 sales, according to Miller Samuel. Marc Andreesen just set a record in California after he paid $177 million for a compound in Malibu, while Coinbase CEO Brian Armstrong paid $133 million for a modern mansion, located near ""The One"" in Bel Air.Brokers say interest in ""The One"" has already been strong. Williams said he has two offers on the table — one from a Saudi royal and one from a wealthy Chinese buyer. He said more offers are expected soon from crypto buyers who are ""looking at this house as their own space station."" ""There is going to be huge demand for this property,"" he said. ""Demand for U.S. real estate is through the roof because the dollar is weak and people want real tangible assets.""Kirman added that the property is more than a house — it's a full-scale private resort for ""the billionaire buyer who wants all-inclusive living."" The home sits on 3.8 acres and features 21 bedrooms and 42 bathrooms. Built on a leveled mountain, it has views of the Pacific Ocean, downtown Los Angeles and the San Gabriel Mountains. It has seven water features, including a massive moat that runs around the property. It has a nightclub, a full-service beauty salon, a wellness spa, a home theater that seats 40, a bowling alley, a 10,000-bottle wine cellar, 30-car garage and a 400-foot private outdoor running track. For guests or staff, it has a three-bedroom guest house with its own infinity pool.Still, any buyer of ""The One"" will also have to contend with a thicket of financial and legal issues. According to the receiver's report and an engineering study, the house has cracks in and around many of the pools and stonework, as well as signs of mold. It has several outstanding building and occupancy permits, and a local homeowner's association is challenging its construction. In part because of ""The One"" and other megamansions built nearby, local building laws were changed in recent years to prevent other supersized homes from ever being built again — which brokers say only adds to the value of ""The One."" The lenders also continue to battle each other in bankruptcy court over procedures and priority. Niami weighed in with his own last-ditch effort last month, releasing a video saying he hoped to turn the home into a crypto investment, selling a new token to investors called ""The One Coin"" that would be backed by the property. ""Hopefully, there's someone out there that is going to want to walk hand in hand with me into the stratosphere,"" Niami said in a video. He declined further comment, and lenders and lawyers have dismissed Niami's plans.Ultimately, Kirman said, the 10 years of drama around the house won't deter buyers once they tour the property. ""Its controversial history is no secret,"" he said. ""But when a potential buyer walks the site they'll see the opportunity is so extraordinary that the past won't really matter anymore.""The auction, held by Concierge Auctions, is scheduled to run Feb. 7-10. Bidders would have to wire $250,000 and show proof of funds to qualify for bidding."
